opportunity_id,customer_id,city,state,region,industry,customer_segment,company_size,existing_customer,customer_health_score,account_id,sales_rep_id,sales_team_id,created_date,product_id,product,product_category,lead_source,contract_type,deal_type,new_or_existing_customer,opportunity_amount,discount_percentage,net_deal_value,competitor_present,competitor_name,decision_makers_count,engagement_score,expected_close_date,sales_stage,previous_stage,stage_entry_date,actual_close_date,deal_status,lost_reason,last_activity_date,activity_gap_days,next_follow_up_date,sales_cycle_days,total_opportunity_age_days,days_in_current_stage,quarter,month,year,meeting_count,email_count,call_count,demo_count,follow_up_count,proposal_sent,win_probability,weighted_value,forecast_category,risk_score,risk_level,risk_drivers,recommended_action,health_stage_progression,health_recency,health_age,health_engagement,health_close_plan,health_historical_conversion,health_size_balance,health_next_action,health_score,health_category,forecast_risk_value
268,12773,Delhi,Delhi,North,Retail,Enterprise,900,True,43,12773,35,3,2024-03-16,3,Data Advisory,Services,Referral,Annual,Renewal,Existing,2470242.58,4.92,2348706.65,False,None,6,60.8,2024-06-03,Closed Lost,Negotiation,2024-07-28,2024-07-28,Closed Lost,Product mismatch,2024-06-11,47,,134.0,134,0,1,3,2024,0,0,1,0,0,True,0.0,0.0,Excluded,0,Closed,Closed opportunity,No open-deal action,,,,,,,,,,Closed,0.0
269,3143,Pune,Maharashtra,West,Retail,SMB,32,False,66,3143,19,2,2023-06-24,2,Workflow Suite,Software,Outbound,Multi-year,New business,New,216707.55,16.39,181189.18,False,None,2,41.3,2023-09-18,Closed Lost,Lead,2023-07-30,2023-07-30,Closed Lost,Other,2023-07-22,8,,36.0,36,0,2,6,2023,0,2,0,0,2,False,0.0,0.0,Excluded,0,Closed,Closed opportunity,No open-deal action,,,,,,,,,,Closed,0.0
270,10786,Bhubaneswar,Odisha,East,BFSI,Mid-market,282,False,44,10786,41,4,2024-12-27,1,Cloud Enablement,Services,Event,Project,New business,New,860715.81,7.89,792805.33,True,Competitor B,1,33.5,2025-04-30,Closed Lost,Lead,2025-01-06,2025-01-06,Closed Lost,Competitor selected,2025-01-01,5,,10.0,10,0,4,12,2024,0,2,0,0,2,False,0.0,0.0,Excluded,0,Closed,Closed opportunity,No open-deal action,,,,,,,,,,Closed,0.0
271,15081,Pune,Maharashtra,West,Retail,SMB,139,True,42,15081,19,2,2024-05-21,4,Security Services,Services,Outbound,Project,Renewal,Existing,487229.09,12.8,424863.77,True,Competitor B,1,42.9,2024-08-14,Closed Lost,Qualified,2024-06-22,2024-06-22,Closed Lost,Procurement delay,2024-06-12,10,,32.0,32,0,2,5,2024,0,2,2,0,0,False,0.0,0.0,Excluded,0,Closed,Closed opportunity,No open-deal action,,,,,,,,,,Closed,0.0
272,1481,Chennai,Tamil Nadu,South,IT Services,Mid-market,231,False,40,1481,5,1,2023-06-13,1,Cloud Enablement,Services,Inbound,Annual,New business,New,378329.83,2.05,370574.07,False,None,3,52.6,2023-09-08,Closed Lost,Lead,2023-07-21,2023-07-21,Closed Lost,Pricing,2023-07-09,12,,38.0,38,0,2,6,2023,0,4,0,0,0,False,0.0,0.0,Excluded,0,Closed,Closed opportunity,No open-deal action,,,,,,,,,,Closed,0.0
273,7806,Jaipur,Rajasthan,North,BFSI,Enterprise,1296,True,65,7806,30,3,2024-02-22,3,Data Advisory,Services,Partner,Project,Renewal,Existing,4185391.59,14.9,3561768.24,True,Competitor C,6,86.5,2024-05-31,Closed Lost,Qualified,2024-04-24,2024-04-24,Closed Lost,Other,2024-04-06,18,,62.0,62,0,1,2,2024,0,2,1,0,2,False,0.0,0.0,Excluded,0,Closed,Closed opportunity,No open-deal action,,,,,,,,,,Closed,0.0
274,5005,Kolkata,West Bengal,East,IT Services,SMB,94,False,54,5005,44,4,2025-09-20,2,Workflow Suite,Software,Inbound,Annual,New business,New,242504.07,5.77,228511.59,False,None,1,45.3,2025-12-08,Closed Lost,Lead,2025-10-06,2025-10-06,Closed Lost,Customer priorities changed,2025-10-05,1,,16.0,16,0,3,9,2025,1,2,2,0,0,False,0.0,0.0,Excluded,0,Closed,Closed opportunity,No open-deal action,,,,,,,,,,Closed,0.0
275,13126,Bengaluru,Karnataka,South,BFSI,SMB,135,True,93,13126,9,1,2023-09-02,4,Security Services,Services,Partner,Annual,Renewal,Existing,520616.42,3.91,500260.32,True,Competitor C,1,73.6,2023-11-20,Closed Lost,Lead,2023-09-21,2023-09-21,Closed Lost,Competitor selected,2023-09-19,2,,19.0,19,0,3,9,2023,0,0,0,0,3,False,0.0,0.0,Excluded,0,Closed,Closed opportunity,No open-deal action,,,,,,,,,,Closed,0.0
276,5418,Chennai,Tamil Nadu,South,Manufacturing,SMB,114,True,72,5418,12,1,2026-07-03,3,Data Advisory,Services,Inbound,Project,Renewal,Existing,195303.25,13.13,169659.93,False,None,3,60.6,2026-10-07,Demo,Discovery,2026-07-31,,Open,,2026-08-26,5,2026-09-07,,59,31,3,7,2026,1,1,0,1,3,False,0.49543899657924745,84056.14547890535,Best Case,15,Low,Stage stagnation,Review the stage exit criteria,8.333333333333332,10.416666666666668,8.402777777777779,7.575,12.5,6.192987457240593,12.5,12.5,78.4,Healthy,12608.421821835802
277,12795,Pune,Maharashtra,West,Manufacturing,Mid-market,303,False,77,12795,24,2,2025-01-29,4,Security Services,Services,Inbound,Annual,New business,New,641061.68,6.92,596700.21,False,None,4,29.1,2025-05-27,Closed Lost,Negotiation,2025-07-17,2025-07-17,Closed Lost,Budget constraints,2025-05-26,52,,169.0,169,0,1,1,2025,0,1,2,0,1,True,0.0,0.0,Excluded,0,Closed,Closed opportunity,No open-deal action,,,,,,,,,,Closed,0.0
278,10012,Pune,Maharashtra,West,Retail,Mid-market,315,False,77,10012,24,2,2024-07-28,1,Cloud Enablement,Services,Inbound,Project,New business,New,884290.37,10.64,790201.87,True,Competitor C,4,77.9,2024-11-04,Closed Won,Negotiation,2024-10-22,2024-10-22,Closed Won,,2024-08-15,68,,86.0,86,0,3,7,2024,0,2,0,0,1,True,1.0,0.0,Closed Won,0,Closed,Closed opportunity,No open-deal action,,,,,,,,,,Closed,0.0
279,13298,Bhubaneswar,Odisha,East,Retail,SMB,102,False,37,13298,37,4,2023-07-17,2,Workflow Suite,Software,Inbound,Project,New business,New,214091.67,8.95,194930.47,False,None,4,21.2,2023-10-15,Closed Lost,Qualified,2023-08-15,2023-08-15,Closed Lost,Product mismatch,2023-08-14,1,,29.0,29,0,3,7,2023,2,0,1,0,0,False,0.0,0.0,Excluded,0,Closed,Closed opportunity,No open-deal action,,,,,,,,,,Closed,0.0
280,13140,Bhubaneswar,Odisha,East,IT Services,SMB,134,False,84,13140,44,4,2024-10-22,3,Data Advisory,Services,Inbound,Project,New business,New,373636.71,10.63,333919.13,True,Competitor B,3,66.4,2024-12-06,Closed Lost,Qualified,2024-11-07,2024-11-07,Closed Lost,Timing,2024-11-05,2,,16.0,16,0,4,10,2024,4,3,1,0,0,False,0.0,0.0,Excluded,0,Closed,Closed opportunity,No open-deal action,,,,,,,,,,Closed,0.0
281,11750,Chennai,Tamil Nadu,South,BFSI,SMB,49,False,59,11750,12,1,2024-03-20,2,Workflow Suite,Software,Inbound,Project,New business,New,234371.47,8.04,215528.0,True,Competitor A,4,41.3,2024-05-28,Closed Lost,Discovery,2024-05-08,2024-05-08,Closed Lost,Product mismatch,2024-04-25,13,,49.0,49,0,1,3,2024,0,2,3,0,0,False,0.0,0.0,Excluded,0,Closed,Closed opportunity,No open-deal action,,,,,,,,,,Closed,0.0
282,16557,Kolkata,West Bengal,East,IT Services,SMB,116,False,65,16557,41,4,2023-01-10,3,Data Advisory,Services,Referral,Project,New business,New,298372.57,3.31,288496.44,False,None,4,39.9,2023-03-29,Closed Lost,Negotiation,2023-05-28,2023-05-28,Closed Lost,Customer priorities changed,2023-05-20,8,,138.0,138,0,1,1,2023,1,1,0,0,1,True,0.0,0.0,Excluded,0,Closed,Closed opportunity,No open-deal action,,,,,,,,,,Closed,0.0
283,13754,Bengaluru,Karnataka,South,Retail,SMB,54,False,75,13754,8,1,2025-10-02,2,Workflow Suite,Software,Inbound,Annual,New business,New,53212.23,7.06,49455.45,True,Competitor C,1,33.0,2025-12-20,Closed Lost,Qualified,2025-10-18,2025-10-18,Closed Lost,Pricing,2025-10-04,14,,16.0,16,0,4,10,2025,0,0,0,0,1,False,0.0,0.0,Excluded,0,Closed,Closed opportunity,No open-deal action,,,,,,,,,,Closed,0.0
284,4250,Pune,Maharashtra,West,IT Services,SMB,78,False,78,4250,19,2,2023-08-06,4,Security Services,Services,Outbound,Annual,New business,New,132552.69,1.76,130219.76,False,None,4,35.0,2023-11-14,Closed Lost,Lead,2023-08-23,2023-08-23,Closed Lost,Customer priorities changed,2023-08-23,0,,17.0,17,0,3,8,2023,0,0,0,0,1,False,0.0,0.0,Excluded,0,Closed,Closed opportunity,No open-deal action,,,,,,,,,,Closed,0.0
285,1793,Mumbai,Maharashtra,West,Manufacturing,Mid-market,261,False,74,1793,16,2,2026-05-27,2,Workflow Suite,Software,Referral,Multi-year,New business,New,1396105.32,1.63,1373348.8,True,Competitor C,4,28.2,2026-08-29,Closed Lost,Lead,2026-06-03,2026-06-03,Closed Lost,Customer priorities changed,2026-06-03,0,,7.0,7,0,2,5,2026,3,0,1,0,0,False,0.0,0.0,Excluded,0,Closed,Closed opportunity,No open-deal action,,,,,,,,,,Closed,0.0
286,3225,Delhi,Delhi,North,IT Services,Mid-market,198,True,46,3225,26,3,2025-09-02,4,Security Services,Services,Inbound,Multi-year,Expansion,Existing,1243610.91,10.22,1116513.87,True,Competitor B,4,74.0,2025-12-08,Closed Lost,Lead,2025-09-09,2025-09-09,Closed Lost,Competitor selected,2025-09-06,3,,7.0,7,0,3,9,2025,0,0,0,0,2,False,0.0,0.0,Excluded,0,Closed,Closed opportunity,No open-deal action,,,,,,,,,,Closed,0.0
287,7215,Chennai,Tamil Nadu,South,Manufacturing,SMB,91,False,50,7215,2,1,2023-03-20,3,Data Advisory,Services,Partner,Annual,New business,New,214183.98,4.72,204074.5,True,Competitor B,4,38.6,2023-06-30,Closed Lost,Lead,2023-03-26,2023-03-26,Closed Lost,Product mismatch,2023-03-24,2,,6.0,6,0,1,3,2023,1,1,1,0,0,False,0.0,0.0,Excluded,0,Closed,Closed opportunity,No open-deal action,,,,,,,,,,Closed,0.0
288,7049,Kolkata,West Bengal,East,Healthcare,SMB,118,False,89,7049,43,4,2025-09-18,4,Security Services,Services,Inbound,Project,New business,New,209692.74,4.88,199459.73,False,None,3,59.4,2025-12-30,Closed Lost,Lead,2025-10-01,2025-10-01,Closed Lost,Budget constraints,2025-09-27,4,,13.0,13,0,3,9,2025,0,2,3,0,0,False,0.0,0.0,Excluded,0,Closed,Closed opportunity,No open-deal action,,,,,,,,,,Closed,0.0
289,12433,Jaipur,Rajasthan,North,Healthcare,Enterprise,936,False,82,12433,26,3,2023-10-14,4,Security Services,Services,Referral,Annual,New business,New,4277430.3,10.03,3848404.04,False,None,5,54.3,2024-03-01,Closed Won,Negotiation,2024-02-28,2024-02-28,Closed Won,,2024-02-08,20,,137.0,137,0,4,10,2023,0,1,1,0,0,True,1.0,0.0,Closed Won,0,Closed,Closed opportunity,No open-deal action,,,,,,,,,,Closed,0.0
290,11269,Kolkata,West Bengal,East,Healthcare,Mid-market,339,True,95,11269,43,4,2025-05-09,3,Data Advisory,Services,Partner,Project,Renewal,Existing,1720436.78,9.58,1555618.94,True,Competitor A,2,33.9,2025-09-09,Closed Won,Negotiation,2025-09-17,2025-09-17,Closed Won,,2025-08-26,22,,131.0,131,0,2,5,2025,0,1,0,0,0,True,1.0,0.0,Closed Won,0,Closed,Closed opportunity,No open-deal action,,,,,,,,,,Closed,0.0
291,2419,Mumbai,Maharashtra,West,Manufacturing,Enterprise,1116,False,49,2419,13,2,2024-12-12,4,Security Services,Services,Inbound,Annual,New business,New,1531972.29,6.67,1429789.74,True,Competitor B,6,26.0,2025-05-06,Closed Lost,Lead,2024-12-20,2024-12-20,Closed Lost,Pricing,2024-12-15,5,,8.0,8,0,4,12,2024,0,1,1,0,0,False,0.0,0.0,Excluded,0,Closed,Closed opportunity,No open-deal action,,,,,,,,,,Closed,0.0
292,11971,Jaipur,Rajasthan,North,BFSI,Enterprise,1197,False,62,11971,34,3,2024-01-19,3,Data Advisory,Services,Event,Annual,New business,New,6531633.17,1.61,6426473.88,False,None,5,27.4,2024-04-19,Closed Lost,Discovery,2024-03-07,2024-03-07,Closed Lost,Competitor selected,2024-03-05,2,,48.0,48,0,1,1,2024,1,1,3,0,1,False,0.0,0.0,Excluded,0,Closed,Closed opportunity,No open-deal action,,,,,,,,,,Closed,0.0
293,10176,Pune,Maharashtra,West,Manufacturing,SMB,32,False,45,10176,14,2,2024-07-05,4,Security Services,Services,Partner,Project,New business,New,143613.99,6.59,134149.83,True,Competitor C,4,65.7,2024-09-27,Closed Lost,Proposal,2024-09-23,2024-09-23,Closed Lost,No decision,2024-09-07,16,,80.0,80,0,3,7,2024,0,0,0,0,1,True,0.0,0.0,Excluded,0,Closed,Closed opportunity,No open-deal action,,,,,,,,,,Closed,0.0
294,13833,Bhubaneswar,Odisha,East,Retail,Mid-market,270,False,68,13833,47,4,2026-05-07,4,Security Services,Services,Inbound,Multi-year,New business,New,1185025.59,5.67,1117834.64,False,None,2,49.2,2026-08-15,Closed Won,Negotiation,2026-07-16,2026-07-16,Closed Won,,2026-06-26,20,,70.0,70,0,2,5,2026,0,1,0,0,0,True,1.0,0.0,Closed Won,0,Closed,Closed opportunity,No open-deal action,,,,,,,,,,Closed,0.0
295,7234,Mumbai,Maharashtra,West,Healthcare,SMB,26,False,69,7234,20,2,2023-07-17,1,Cloud Enablement,Services,Inbound,Project,New business,New,119114.52,9.16,108203.63,False,None,2,78.6,2023-11-03,Closed Lost,Qualified,2023-07-29,2023-07-29,Closed Lost,Competitor selected,2023-07-26,3,,12.0,12,0,3,7,2023,0,4,1,0,0,False,0.0,0.0,Excluded,0,Closed,Closed opportunity,No open-deal action,,,,,,,,,,Closed,0.0
296,5203,Kolkata,West Bengal,East,BFSI,SMB,100,True,37,5203,42,4,2024-05-06,4,Security Services,Services,Inbound,Multi-year,Expansion,Existing,515271.55,8.87,469566.96,False,None,4,63.9,2024-08-30,Closed Lost,Demo,2024-06-23,2024-06-23,Closed Lost,Customer priorities changed,2024-06-19,4,,48.0,48,0,2,5,2024,2,3,1,0,2,False,0.0,0.0,Excluded,0,Closed,Closed opportunity,No open-deal action,,,,,,,,,,Closed,0.0
297,4621,Delhi,Delhi,North,Healthcare,Mid-market,414,True,84,4621,35,3,2024-03-09,1,Cloud Enablement,Services,Partner,Annual,Renewal,Existing,547929.98,7.88,504753.1,True,Competitor C,1,60.6,2024-06-22,Closed Lost,Discovery,2024-07-03,2024-07-03,Closed Lost,No decision,2024-06-08,25,,116.0,116,0,1,3,2024,1,1,0,0,1,False,0.0,0.0,Excluded,0,Closed,Closed opportunity,No open-deal action,,,,,,,,,,Closed,0.0
298,14016,Bengaluru,Karnataka,South,Manufacturing,SMB,35,False,50,14016,1,1,2024-09-11,1,Cloud Enablement,Services,Inbound,Multi-year,New business,New,247602.11,3.53,238861.76,False,None,1,64.3,2024-12-17,Closed Lost,Discovery,2024-10-28,2024-10-28,Closed Lost,Competitor selected,2024-10-16,12,,47.0,47,0,3,9,2024,0,0,1,0,3,False,0.0,0.0,Excluded,0,Closed,Closed opportunity,No open-deal action,,,,,,,,,,Closed,0.0
299,4193,Jaipur,Rajasthan,North,BFSI,SMB,144,False,58,4193,32,3,2026-06-30,3,Data Advisory,Services,Outbound,Annual,New business,New,568585.17,8.67,519288.84,False,None,1,32.2,2026-09-06,Closed Lost,Qualified,2026-08-06,2026-08-06,Closed Lost,Duplicate opportunity,2026-07-21,16,,37.0,37,0,2,6,2026,0,1,2,0,0,False,0.0,0.0,Excluded,0,Closed,Closed opportunity,No open-deal action,,,,,,,,,,Closed,0.0
300,11167,Bhubaneswar,Odisha,East,Retail,Enterprise,1026,False,58,11167,38,4,2026-01-08,1,Cloud Enablement,Services,Event,Annual,New business,New,3594950.51,4.61,3429223.29,True,Competitor B,6,48.0,2026-05-22,Closed Lost,Lead,2026-01-15,2026-01-15,Closed Lost,Competitor selected,2026-01-14,1,,7.0,7,0,1,1,2026,0,2,0,0,4,False,0.0,0.0,Excluded,0,Closed,Closed opportunity,No open-deal action,,,,,,,,,,Closed,0.0
301,7640,Kolkata,West Bengal,East,BFSI,SMB,86,False,68,7640,42,4,2025-08-22,4,Security Services,Services,Inbound,Multi-year,New business,New,641441.54,6.12,602185.32,True,Competitor A,2,77.9,2025-11-24,Closed Lost,Lead,2025-08-30,2025-08-30,Closed Lost,Timing,2025-08-30,0,,8.0,8,0,3,8,2025,0,3,1,0,1,False,0.0,0.0,Excluded,0,Closed,Closed opportunity,No open-deal action,,,,,,,,,,Closed,0.0
302,321,Mumbai,Maharashtra,West,IT Services,SMB,61,True,35,321,20,2,2024-07-07,2,Workflow Suite,Software,Outbound,Multi-year,Expansion,Existing,329710.41,21.29,259515.06,True,Competitor C,2,49.0,2024-09-29,Closed Won,Negotiation,2024-10-18,2024-10-18,Closed Won,,2024-09-17,31,,103.0,103,0,3,7,2024,0,3,0,1,0,True,1.0,0.0,Closed Won,0,Closed,Closed opportunity,No open-deal action,,,,,,,,,,Closed,0.0
303,8432,Chennai,Tamil Nadu,South,IT Services,SMB,132,False,52,8432,5,1,2026-07-11,1,Cloud Enablement,Services,Referral,Project,New business,New,305606.16,8.08,280913.18,False,None,3,50.8,2026-10-21,Demo,Discovery,2026-08-26,,Open,,2026-08-26,5,2026-09-01,,51,5,3,7,2026,2,2,3,1,1,False,0.49543899657924745,139175.3440250855,Best Case,0,Low,,,8.333333333333332,10.416666666666668,8.958333333333334,6.35,12.5,6.192987457240593,12.5,12.5,77.8,Healthy,0.0
304,16213,Kolkata,West Bengal,East,Healthcare,Mid-market,93,True,35,16213,42,4,2024-11-12,1,Cloud Enablement,Services,Event,Project,Renewal,Existing,395748.46,19.49,318617.09,True,Competitor A,4,53.0,2025-02-22,Closed Lost,Demo,2025-02-10,2025-02-10,Closed Lost,Competitor selected,2025-02-01,9,,90.0,90,0,4,11,2024,2,1,2,0,3,False,0.0,0.0,Excluded,0,Closed,Closed opportunity,No open-deal action,,,,,,,,,,Closed,0.0
305,5546,Bhubaneswar,Odisha,East,IT Services,Enterprise,504,True,66,5546,37,4,2026-05-03,3,Data Advisory,Services,Outbound,Project,Expansion,Existing,2603053.65,11.45,2305004.01,False,None,5,55.2,2026-08-30,Closed Lost,Lead,2026-05-23,2026-05-23,Closed Lost,Budget constraints,2026-05-13,10,,20.0,20,0,2,5,2026,1,1,0,0,0,False,0.0,0.0,Excluded,0,Closed,Closed opportunity,No open-deal action,,,,,,,,,,Closed,0.0
306,4217,Pune,Maharashtra,West,Healthcare,Mid-market,147,False,57,4217,13,2,2024-04-16,1,Cloud Enablement,Services,Outbound,Project,New business,New,792539.2,3.04,768446.01,True,Competitor C,2,64.9,2024-07-05,Closed Lost,Lead,2024-04-22,2024-04-22,Closed Lost,Competitor selected,2024-04-22,0,,6.0,6,0,2,4,2024,1,0,1,0,2,False,0.0,0.0,Excluded,0,Closed,Closed opportunity,No open-deal action,,,,,,,,,,Closed,0.0
307,8463,Jaipur,Rajasthan,North,Retail,Mid-market,81,False,94,8463,31,3,2026-03-22,3,Data Advisory,Services,Referral,Project,New business,New,530444.12,4.57,506202.82,False,None,4,61.6,2026-07-30,Proposal,Demo,2026-08-04,,Open,,2026-08-09,22,2026-08-24,,162,27,1,3,2026,2,0,5,0,3,True,0.5816749478670545,294445.498933656,Best Case,55,High,Old opportunity; No recent activity; Close date pressure; No future follow-up; Long cycle,Review qualification and realistic close date; Contact the customer and log the response; Confirm procurement milestones; Schedule a dated next action; Reassess the mutual close plan,10.416666666666668,3.333333333333334,1.2499999999999998,7.7,0.0,7.270936848338182,12.5,0.0,42.5,At risk,161945.0244135108
308,1260,Kolkata,West Bengal,East,Retail,SMB,56,False,53,1260,45,4,2024-07-14,2,Workflow Suite,Software,Event,Annual,New business,New,164562.15,3.4,158967.04,False,None,1,86.6,2024-09-20,Closed Lost,Negotiation,2024-09-16,2024-09-16,Closed Lost,Poor engagement,2024-09-10,6,,64.0,64,0,3,7,2024,0,1,3,0,2,True,0.0,0.0,Excluded,0,Closed,Closed opportunity,No open-deal action,,,,,,,,,,Closed,0.0
309,6341,Mumbai,Maharashtra,West,Retail,Mid-market,336,True,91,6341,18,2,2024-07-06,4,Security Services,Services,Referral,Annual,Expansion,Existing,1038940.29,6.64,969954.65,False,None,2,69.2,2024-09-27,Closed Won,Negotiation,2024-10-14,2024-10-14,Closed Won,,2024-10-14,0,,100.0,100,0,3,7,2024,1,1,1,0,0,True,1.0,0.0,Closed Won,0,Closed,Closed opportunity,No open-deal action,,,,,,,,,,Closed,0.0
310,7387,Kolkata,West Bengal,East,Retail,SMB,79,True,46,7387,48,4,2026-05-05,2,Workflow Suite,Software,Event,Project,Expansion,Existing,155692.66,4.57,148577.51,False,None,4,44.0,2026-07-24,Closed Won,Negotiation,2026-08-26,2026-08-26,Closed Won,,2026-08-15,11,,113.0,113,0,2,5,2026,0,1,0,0,0,True,1.0,0.0,Closed Won,0,Closed,Closed opportunity,No open-deal action,,,,,,,,,,Closed,0.0
311,6792,Bhubaneswar,Odisha,East,Retail,Mid-market,396,False,88,6792,45,4,2024-08-12,3,Data Advisory,Services,Inbound,Annual,New business,New,1264990.41,9.59,1143677.83,False,None,2,71.9,2024-12-02,Closed Won,Negotiation,2024-11-10,2024-11-10,Closed Won,,2024-10-26,15,,90.0,90,0,3,8,2024,0,2,2,0,0,True,1.0,0.0,Closed Won,0,Closed,Closed opportunity,No open-deal action,,,,,,,,,,Closed,0.0
312,8911,Chennai,Tamil Nadu,South,Retail,Mid-market,204,True,83,8911,11,1,2026-01-22,3,Data Advisory,Services,Partner,Annual,Renewal,Existing,997326.89,11.41,883531.89,False,None,3,96.2,2026-04-04,Closed Lost,Discovery,2026-03-04,2026-03-04,Closed Lost,Customer priorities changed,2026-02-17,15,,41.0,41,0,1,1,2026,0,1,1,0,4,False,0.0,0.0,Excluded,0,Closed,Closed opportunity,No open-deal action,,,,,,,,,,Closed,0.0
313,8092,Mumbai,Maharashtra,West,Retail,SMB,52,True,71,8092,20,2,2023-10-20,1,Cloud Enablement,Services,Inbound,Annual,Renewal,Existing,197453.73,10.22,177273.96,True,Competitor A,1,83.7,2024-02-08,Closed Lost,Demo,2023-11-24,2023-11-24,Closed Lost,Duplicate opportunity,2023-11-10,14,,35.0,35,0,4,10,2023,2,2,0,0,1,False,0.0,0.0,Excluded,0,Closed,Closed opportunity,No open-deal action,,,,,,,,,,Closed,0.0
314,7795,Bengaluru,Karnataka,South,IT Services,Mid-market,198,False,85,7795,7,1,2023-07-11,4,Security Services,Services,Inbound,Project,New business,New,664214.94,2.28,649070.84,True,Competitor A,2,63.4,2023-10-20,Closed Lost,Qualified,2023-07-31,2023-07-31,Closed Lost,Poor engagement,2023-07-31,0,,20.0,20,0,3,7,2023,2,2,1,0,0,False,0.0,0.0,Excluded,0,Closed,Closed opportunity,No open-deal action,,,,,,,,,,Closed,0.0
315,5356,Kolkata,West Bengal,East,Healthcare,SMB,116,False,84,5356,44,4,2026-01-12,3,Data Advisory,Services,Event,Project,New business,New,477640.64,15.19,405087.03,False,None,4,73.7,2026-04-05,Closed Lost,Discovery,2026-04-10,2026-04-10,Closed Lost,Budget constraints,2026-03-25,16,,88.0,88,0,1,1,2026,1,1,1,0,2,False,0.0,0.0,Excluded,0,Closed,Closed opportunity,No open-deal action,,,,,,,,,,Closed,0.0
316,12799,Delhi,Delhi,North,BFSI,Mid-market,441,False,78,12799,29,3,2026-08-18,4,Security Services,Services,Event,Annual,New business,New,1614549.97,1.83,1585003.71,False,None,3,58.6,2026-11-30,Lead,None,2026-08-18,,Open,,2026-08-23,8,2026-09-01,,13,13,3,8,2026,0,1,0,0,0,False,0.24256673698675726,384469.1780466045,Pipeline,0,Low,,,2.083333333333333,9.166666666666668,11.597222222222223,7.324999999999999,12.5,3.032084212334466,12.5,12.5,70.7,Healthy,0.0
317,5652,Jaipur,Rajasthan,North,IT Services,Mid-market,417,True,38,5652,33,3,2026-06-24,3,Data Advisory,Services,Referral,Project,Renewal,Existing,2497647.78,7.53,2309574.9,True,Competitor C,1,57.3,2026-11-30,Closed Lost,Qualified,2026-07-27,2026-07-27,Closed Lost,Pricing,2026-07-03,24,,33.0,33,0,2,6,2026,0,1,0,0,1,False,0.0,0.0,Excluded,0,Closed,Closed opportunity,No open-deal action,,,,,,,,,,Closed,0.0
319,11273,Delhi,Delhi,North,Manufacturing,SMB,97,False,57,11273,31,3,2023-08-27,3,Data Advisory,Services,Event,Annual,New business,New,389036.77,3.88,373942.14,False,None,1,71.6,2023-11-26,Closed Lost,Qualified,2023-09-27,2023-09-27,Closed Lost,Pricing,2023-09-27,0,,31.0,31,0,3,8,2023,1,2,0,0,2,False,0.0,0.0,Excluded,0,Closed,Closed opportunity,No open-deal action,,,,,,,,,,Closed,0.0
320,13534,Kolkata,West Bengal,East,Manufacturing,SMB,57,False,89,13534,37,4,2025-11-27,2,Workflow Suite,Software,Inbound,Annual,New business,New,208233.99,7.53,192553.97,True,Competitor B,3,68.7,2026-04-16,Closed Lost,Lead,2025-12-03,2025-12-03,Closed Lost,Competitor selected,2025-12-03,0,,6.0,6,0,4,11,2025,0,3,1,0,2,False,0.0,0.0,Excluded,0,Closed,Closed opportunity,No open-deal action,,,,,,,,,,Closed,0.0
322,8083,Delhi,Delhi,North,Retail,Mid-market,270,True,83,8083,30,3,2024-07-02,3,Data Advisory,Services,Inbound,Project,Expansion,Existing,1153678.64,8.33,1057577.21,False,None,3,14.2,2024-10-23,Closed Lost,Lead,2024-07-16,2024-07-16,Closed Lost,Product mismatch,2024-07-15,1,,14.0,14,0,3,7,2024,1,0,0,0,1,False,0.0,0.0,Excluded,0,Closed,Closed opportunity,No open-deal action,,,,,,,,,,Closed,0.0
323,1597,Jaipur,Rajasthan,North,IT Services,Mid-market,198,False,91,1597,36,3,2024-01-24,1,Cloud Enablement,Services,Outbound,Project,New business,New,671888.51,4.43,642123.85,True,Competitor B,2,47.3,2024-04-15,Closed Lost,Negotiation,2024-05-30,2024-05-30,Closed Lost,No decision,2024-05-01,29,,127.0,127,0,1,1,2024,0,1,0,0,0,True,0.0,0.0,Excluded,0,Closed,Closed opportunity,No open-deal action,,,,,,,,,,Closed,0.0
324,1288,Chennai,Tamil Nadu,South,IT Services,SMB,126,False,82,1288,4,1,2024-08-13,3,Data Advisory,Services,Inbound,Annual,New business,New,423805.35,12.06,372694.42,True,Competitor C,1,69.4,2024-11-02,Closed Lost,Demo,2024-09-27,2024-09-27,Closed Lost,Competitor selected,2024-09-23,4,,45.0,45,0,3,8,2024,0,1,2,0,0,False,0.0,0.0,Excluded,0,Closed,Closed opportunity,No open-deal action,,,,,,,,,,Closed,0.0
325,12854,Bengaluru,Karnataka,South,Healthcare,Enterprise,819,False,84,12854,9,1,2024-09-03,2,Workflow Suite,Software,Inbound,Multi-year,New business,New,4596967.31,2.97,4460437.38,False,None,6,28.5,2024-12-19,Closed Lost,Negotiation,2024-12-23,2024-12-23,Closed Lost,Competitor selected,2024-12-17,6,,111.0,111,0,3,9,2024,3,2,0,1,1,True,0.0,0.0,Excluded,0,Closed,Closed opportunity,No open-deal action,,,,,,,,,,Closed,0.0
